epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.44432,2.10169,11.655,2.10695,0.00048,0.66667,0.04148,0.01834,1.83362,6.37494,2.33791,0.00017148,0.00017148,0.00017148
2,7.47794,1.56091,8.6292,1.73242,0.00042,0.66667,0.07967,0.03248,1.88088,6.12907,2.15077,0.000353713,0.000353713,0.000353713
3,9.42872,1.71653,7.87114,1.81581,0.00063,0.8,0.2962,0.14723,2.08465,6.21981,2.41658,0.000532268,0.000532268,0.000532268
4,11.3926,1.66162,7.44326,1.75309,0.00042,0.55556,0.00864,0.00168,2.62796,7.31518,2.7287,0.000707145,0.000707145,0.000707145
5,13.2811,1.83163,8.85025,1.83862,0.81119,0.09635,0.08043,0.03829,2.39082,7.30912,2.88729,0.000878343,0.000878343,0.000878343
6,15.2271,1.93527,9.95358,1.95508,0.68014,0.22222,0.15385,0.05959,3.10661,11.7111,3.65036,0.00104586,0.00104586,0.00104586
7,17.1317,1.96896,6.56546,1.9108,0.21262,0.24444,0.15726,0.05062,2.38744,11.7618,3.62329,0.00120971,0.00120971,0.00120971
8,19.023,2.07213,7.48736,2.10887,0.46113,0.24444,0.21409,0.08811,2.72814,28.3341,4.49537,0.00132997,0.00132997,0.00132997
9,20.8699,2.04273,6.56825,1.98229,0.04893,0.31111,0.03282,0.00813,2.90243,27.8533,4.13645,0.00131582,0.00131582,0.00131582
10,22.7742,1.73604,5.32322,1.74796,0.18538,0.28889,0.0851,0.01353,3.17552,29.3145,3.56189,0.00130168,0.00130168,0.00130168
11,24.7503,1.71263,5.97915,1.66709,0.35087,0.33333,0.16351,0.03177,2.88331,23.1005,3.31178,0.00128753,0.00128753,0.00128753
12,26.7418,1.69625,5.07316,1.71237,0.283,0.26667,0.17357,0.0607,2.64559,52.2071,3.66562,0.00127338,0.00127338,0.00127338
13,28.7213,1.8849,5.63735,1.85238,0.08662,0.4,0.1505,0.05823,2.63853,104.43,4.54838,0.00125923,0.00125923,0.00125923
14,30.5844,1.86264,4.95028,1.84171,0.0776,0.26667,0.12332,0.05101,2.59003,124.559,5.00018,0.00124509,0.00124509,0.00124509
15,32.4227,1.76228,5.05005,1.71354,0.05167,0.6,0.09011,0.03685,2.47485,92.2989,4.27709,0.00123094,0.00123094,0.00123094
16,34.2664,1.87304,4.77124,1.93836,0.23165,0.65856,0.19766,0.07663,1.97095,109.564,3.42154,0.00121679,0.00121679,0.00121679
17,36.1342,1.86395,4.71094,1.80385,0.23089,0.42222,0.25627,0.08537,2.01359,17.4116,2.93738,0.00120265,0.00120265,0.00120265
18,37.9832,1.73422,4.09367,1.77507,0.13591,0.48889,0.16696,0.0759,2.15561,8.92629,2.51893,0.0011885,0.0011885,0.0011885
19,39.8784,2.05592,4.85554,2.02428,0.42807,0.33333,0.1418,0.05949,2.27052,13.2036,2.75787,0.00117435,0.00117435,0.00117435
20,41.834,1.84311,4.75619,1.84496,0.43448,0.6598,0.4964,0.22185,2.08547,5.08976,2.52814,0.00116021,0.00116021,0.00116021
21,43.7382,1.82286,3.87196,1.88741,0.4496,0.61222,0.53993,0.22807,2.20966,3.12052,2.51956,0.00114606,0.00114606,0.00114606
22,45.5935,1.69561,3.55398,1.66384,0.54528,0.62074,0.65988,0.33271,1.90461,2.92613,2.15155,0.00113191,0.00113191,0.00113191
23,47.4444,1.59177,2.95226,1.57658,0.22183,0.8,0.42407,0.20823,1.76598,4.61142,2.06637,0.00111776,0.00111776,0.00111776
24,49.2896,1.56959,2.92558,1.63442,0.63773,0.36223,0.4894,0.22019,2.18842,6.74848,2.69545,0.00110362,0.00110362,0.00110362
25,51.1147,1.59374,4.59404,1.575,0.57005,0.47831,0.54882,0.30276,1.68874,3.42841,1.93025,0.00108947,0.00108947,0.00108947
26,53.0614,1.55116,3.0973,1.62987,0.3237,0.44444,0.42944,0.25425,1.84099,3.11939,2.20583,0.00107532,0.00107532,0.00107532
27,54.96,1.53333,2.88911,1.59304,0.50068,0.55556,0.52309,0.32905,1.87613,3.38309,2.23968,0.00106118,0.00106118,0.00106118
28,56.9218,1.56891,2.58086,1.65343,0.37152,0.48381,0.33372,0.19981,1.80426,2.57527,2.04236,0.00104703,0.00104703,0.00104703
29,58.82,1.73089,3.23216,1.71145,0.48933,0.48889,0.49804,0.28377,1.49546,3.02549,1.90077,0.00103288,0.00103288,0.00103288
30,60.6671,1.50191,2.67982,1.65028,0.4898,0.62222,0.55295,0.38986,1.40597,2.41372,1.86705,0.00101873,0.00101873,0.00101873
31,62.4913,1.39563,2.90621,1.58176,0.5364,0.53186,0.54182,0.33281,1.51775,2.02281,1.97849,0.00100459,0.00100459,0.00100459
32,64.3402,1.50588,2.49833,1.62491,0.68362,0.47199,0.57178,0.36549,1.40531,2.66721,1.76599,0.00099044,0.00099044,0.00099044
33,66.2337,1.39277,2.16458,1.47044,0.49502,0.47324,0.55457,0.37205,1.36773,2.8827,1.72163,0.000976293,0.000976293,0.000976293
34,68.1352,1.3125,2.13753,1.42742,0.51961,0.66667,0.53962,0.36463,1.40123,2.87645,1.69618,0.000962146,0.000962146,0.000962146
35,70.0357,1.57191,2.37238,1.54328,0.6758,0.55556,0.58948,0.35333,1.64172,2.09975,1.87059,0.000947999,0.000947999,0.000947999
36,71.8739,1.42525,2.35954,1.56005,0.84374,0.48243,0.58027,0.38605,1.57769,1.71087,1.87111,0.000933851,0.000933851,0.000933851
37,73.6558,1.50896,2.12687,1.44977,0.52398,0.56568,0.62969,0.39796,1.55986,1.7984,1.82334,0.000919704,0.000919704,0.000919704
38,75.4665,1.50537,2.42611,1.54074,0.36294,0.51111,0.55865,0.31722,1.66322,2.58711,2.01519,0.000905557,0.000905557,0.000905557
39,77.2588,1.41686,2.39002,1.55276,0.26251,0.44444,0.38437,0.18591,1.76628,2.21273,2.00742,0.00089141,0.00089141,0.00089141
40,79.1287,1.36562,2.28095,1.44556,0.29341,0.52248,0.35747,0.20877,1.70857,1.88445,2.01091,0.000877263,0.000877263,0.000877263
41,80.9826,1.30729,2.04572,1.44462,0.64303,0.54889,0.65471,0.31334,1.60635,2.45958,1.99409,0.000863116,0.000863116,0.000863116
42,82.8963,1.13202,3.18039,1.21972,0.54194,0.66667,0.66144,0.3252,1.68035,2.1116,2.02155,0.000848969,0.000848969,0.000848969
43,84.7864,1.45088,2.14557,1.47132,0.4602,0.66667,0.63575,0.33185,1.48742,1.72183,1.9134,0.000834822,0.000834822,0.000834822
44,86.6915,1.3172,2.09095,1.43571,0.53569,0.66667,0.57966,0.29939,1.72111,1.88471,1.98939,0.000820675,0.000820675,0.000820675
45,88.5857,1.31399,2.13107,1.39192,0.55196,0.66667,0.62141,0.37362,1.48629,1.83921,1.86638,0.000806528,0.000806528,0.000806528
46,90.4384,1.2378,1.86216,1.3869,0.59767,0.71299,0.67708,0.43887,1.43537,1.71611,1.83455,0.00079238,0.00079238,0.00079238
47,92.3053,1.23258,1.66936,1.34301,0.86859,0.48889,0.65766,0.44369,1.32965,1.69653,1.56035,0.000778233,0.000778233,0.000778233
48,94.3166,1.28724,1.91339,1.39936,0.60782,0.69426,0.6447,0.45959,1.40964,1.60361,1.52622,0.000764086,0.000764086,0.000764086
49,96.0942,1.19947,1.68473,1.35776,0.77686,0.48889,0.59746,0.43029,1.3491,1.60318,1.50478,0.000749939,0.000749939,0.000749939
50,97.9667,1.17758,1.84303,1.28789,0.68588,0.48889,0.55858,0.35208,1.44233,1.86134,1.60568,0.000735792,0.000735792,0.000735792
51,99.837,1.16794,1.56642,1.29386,0.81123,0.48889,0.60198,0.36354,1.52198,1.64032,1.70362,0.000721645,0.000721645,0.000721645
52,101.703,1.50783,2.10013,1.55215,0.90079,0.48889,0.60331,0.40101,1.46205,1.5687,1.62745,0.000707498,0.000707498,0.000707498
